id,name,category,type,address,hours,mainMenu,priceRange,avgPricePerPerson,description,verificationStatus,lastVerifiedDate,menuSourceUrl,hoursSourceUrl,priceSourceUrl,mapSourceUrl,notes,lat,lng,taste,value,portion,cleanliness,ratingCount,foodKeywords,moodKeywords,etcKeywords,recommendFor,image,kakaoPlaceUrl,sourceCheckedDate
store-037,네네치킨 신관점,치킨,restaurant,충남 공주시 번영1로 97-12,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.47488761796978,127.13912623627508,0,0,0,0,0,,,,,,http://place.map.kakao.com/8198650,2026-05-29
store-038,노브랜드버거 공주신관점,기타,restaurant,충남 공주시 흑수골길 25,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4735543483729,127.140282055802,0,0,0,0,0,,,,,,http://place.map.kakao.com/536382562,2026-05-29
store-039,노상치킨 신관점,치킨,restaurant,충남 공주시 전막2길 16-9,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4706211006692,127.130728096004,0,0,0,0,0,,,,,,http://place.map.kakao.com/221834190,2026-05-29
store-040,다복손칼국수,한식,restaurant,충남 공주시 신금2길 50,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4726669128741,127.145378497559,0,0,0,0,0,,,,,,http://place.map.kakao.com/23480651,2026-05-29
store-041,닭장수후라이드 신관점,치킨,restaurant,충남 공주시 번영3로 52-3,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4712538290744,127.136266720556,0,0,0,0,0,,,,,,http://place.map.kakao.com/885913563,2026-05-29
store-042,대만족,족발/보쌈,restaurant,충남 공주시 번영2로 77,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4731992811685,127.137189542683,0,0,0,0,0,,,,,,http://place.map.kakao.com/43571876,2026-05-29
store-043,대박식당,고기,restaurant,충남 공주시 한적2길 27-10,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4768799965517,127.139202327757,0,0,0,0,0,,,,,,http://place.map.kakao.com/812236691,2026-05-29
store-044,대부곱창 공주본점,고기,restaurant,충남 공주시 번영2로 54-21,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.47234627942164,127.13605440214458,0,0,0,0,0,,,,,,http://place.map.kakao.com/18210497,2026-05-29
store-045,대우분식점,분식,restaurant,충남 공주시 번영3로 11,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4684962446292,127.133097685011,0,0,0,0,0,,,,,,http://place.map.kakao.com/12172290,2026-05-29
store-046,더덕순대1999,한식,restaurant,충남 공주시 번영2로 56,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.47219605039656,127.13502761961287,0,0,0,0,0,,,,,,http://place.map.kakao.com/10810749,2026-05-29
store-047,더덕장어구이,고기,restaurant,충남 공주시 관골1길 42,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.473294614030735,127.13338260679184,0,0,0,0,0,,,,,,http://place.map.kakao.com/400993753,2026-05-29
store-048,덕팔이통닭,치킨,restaurant,충남 공주시 번영1로 67,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4735548681527,127.135146020008,0,0,0,0,0,,,,,,http://place.map.kakao.com/1077441139,2026-05-29
store-049,던킨 공주터미널점,기타,restaurant,충남 공주시 신관로 74,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.468408654144866,127.13486150175132,0,0,0,0,0,,,,,,http://place.map.kakao.com/1012488221,2026-05-29
store-050,덤&덤 공주대학교점,피자,restaurant,충남 공주시 공주대학로 56-29,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.471948936954554,127.14142060466907,0,0,0,0,0,,,,,,http://place.map.kakao.com/648640490,2026-05-29
store-051,덤앤덤피자치킨,치킨,restaurant,충남 공주시 신관동 182,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.47192187042549,127.14144733418487,0,0,0,0,0,,,,,,http://place.map.kakao.com/1433375352,2026-05-29
store-052,덮밥90도씨 공주신관점,한식,restaurant,충남 공주시 번영3로 64,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4720751765751,127.13671447059,0,0,0,0,0,,,,,,http://place.map.kakao.com/1428926215,2026-05-29
store-053,덮밥장사장 공주점,일식,restaurant,충남 공주시 공주대학로 78,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.472020651264685,127.13789375433828,0,0,0,0,0,,,,,,http://place.map.kakao.com/1945031065,2026-05-29
store-054,도깨비아구찜,한식,restaurant,충남 공주시 전막3길 40-3,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4718182735092,127.13278759954,0,0,0,0,0,,,,,,http://place.map.kakao.com/132583822,2026-05-29
store-055,도미노피자 공주점,피자,restaurant,충남 공주시 신관로 31,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4707107387982,127.131981246519,0,0,0,0,0,,,,,,http://place.map.kakao.com/7833637,2026-05-29
store-056,도스마스 공주대점,양식,restaurant,충남 공주시 공주대학로 66,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4708876518945,127.138100395308,0,0,0,0,0,,,,,,http://place.map.kakao.com/25515963,2026-05-29
store-057,도향촌마라탕,중식,restaurant,충남 공주시 공주대학로 83,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4723976966714,127.137582002293,0,0,0,0,0,,,,,,http://place.map.kakao.com/490745757,2026-05-29
store-058,돈벼락,고기,restaurant,충남 공주시 신관로 53,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4695478314097,127.133965300596,0,0,0,0,0,,,,,,http://place.map.kakao.com/8919972,2026-05-29
store-059,돈수레식당,고기,restaurant,충남 공주시 전막3길 35,,,,,,미검수,,,,,,"영업시간, 메뉴, 가격대는 수동 검수 필요",36.4715622191883,127.132087572776,0,0,0,0,0,,,,,,http://place.map.kakao.com/376527571,2026-05-29
